,class,confidence,label,xmax,xmin,ymax,ymin
0,0,0.07078351080417633,head,937,911,201,170
1,0,0.0782707929611206,head,526,500,173,140
2,0,0.08591753989458084,head,436,419,98,79
3,0,0.18412689864635468,head,471,453,114,93
4,0,0.3303544521331787,head,370,352,121,102
5,0,0.4658370018005371,head,346,327,121,99
6,0,0.581512451171875,head,425,406,122,100
7,0,0.613224446773529,head,326,307,144,123
8,0,0.7589479088783264,head,486,466,132,110
9,0,0.9351305365562439,head,458,439,130,107
10,0,0.9766494631767273,head,235,194,225,178
